time,EAR
18:52:821249,0.32051969501247274
18:52:821249,0.3271062678723714
18:52:821249,0.31889690577539204
18:52:821249,0.32454404899994294
18:52:821249,0.32767754988647546
18:52:821249,0.33164024855481034
18:52:821249,0.34462670994656264
18:52:821249,0.331573898820683
18:52:821249,0.3364388424823086
18:52:821249,0.3366595394107268
18:55:104182,0.3246944033560538
18:55:104182,0.2964474979982547
18:55:104182,0.13881827258197604
18:55:104182,0.14823890917962135
18:55:104182,0.12016402083847491
18:55:104182,0.16875833441524807
18:55:104182,0.22848454963630746
18:55:104182,0.28318907162038076
18:55:104182,0.3048462697695088
18:55:104182,0.31398961148436555
18:57:320858,0.3219724487447193
18:57:320858,0.30734351279789884
18:57:320858,0.31449980221863727
18:57:320858,0.3221729295683502
18:57:320858,0.3187820042416681
18:57:320858,0.3244123404892052
18:57:320858,0.32710197667277063
18:57:320858,0.3267790098246957
18:57:320858,0.31869090049378634
18:57:320858,0.3150080347163132
18:59:482738,0.32108550252974477
18:59:482738,0.31473835950062307
18:59:482738,0.3127496623988023
18:59:482738,0.3020953201804183
18:59:482738,0.3121941265519613
18:59:482738,0.3121699104319691
18:59:482738,0.31140969471251695
18:59:482738,0.3103892846481018
18:59:482738,0.3011185411457321
18:59:482738,0.3092556676960634
19:03:526838,0.30554071135964633
19:03:526838,0.30727502990168043
19:03:526838,0.3125326806977458
19:03:526838,0.3063656613527788
19:03:526838,0.3055224358626866
19:03:526838,0.3065477790585094
19:03:526838,0.3086791833692939
19:03:526838,0.3113706379558873
19:03:526838,0.30826985809693874
19:03:526838,0.30474823810512985
19:05:919284,0.3107486425051827
19:05:919284,0.3094699107712237
19:05:919284,0.31210692704561194
19:05:919284,0.3243609905496604
19:05:919284,0.3012832018836338
19:05:919284,0.31090603641736747
19:05:919284,0.3078426693815828
19:05:919284,0.3081670523140128
19:05:919284,0.3149618457723128
19:05:919284,0.31601508474336787
19:08:216019,0.301716377740296
19:08:216019,0.3085049006949855
19:08:216019,0.3179458239329571
19:08:216019,0.3162281618803152
19:08:216019,0.30814049912543473
19:08:216019,0.3055770262810109
19:08:216019,0.31182523312035015
19:08:216019,0.31504149415845684
19:08:216019,0.31465854478866473
19:08:216019,0.31085535830011934
19:10:777583,0.31627225020771477
19:10:777583,0.3139699882906354
19:10:777583,0.31420305455519837
19:10:777583,0.3001366222455476
19:10:777583,0.3020843107390057
19:10:777583,0.3074410253341848
19:10:777583,0.29987544732884774
19:10:777583,0.2968076896644434
19:10:777583,0.29180590363243264
19:10:777583,0.2974710035005357
19:12:942637,0.3065755374112634
19:12:942637,0.31111332046890927
19:12:942637,0.30319303876648607
19:12:942637,0.30712362833014406
19:12:942637,0.30497159676534724
19:12:942637,0.29035576257389084
19:12:942637,0.2522277149969501
19:12:942637,0.14286083008493988
19:12:942637,0.12269806199580675
19:12:942637,0.12723449110940335
19:15:059994,0.1291952624523052
19:15:059994,0.14400268125453153
19:15:059994,0.1408715359012206
19:15:059994,0.14718215751060088
19:15:059994,0.1527345971993771
19:15:059994,0.14129310731141304
19:15:059994,0.1671871753413476
19:15:059994,0.1594140725250685
19:15:059994,0.14738223634337064
19:15:059994,0.1561358049790973
19:18:128947,0.15946257897227056
19:18:128947,0.1588247241298681
19:18:128947,0.14538889457931725
19:18:128947,0.15961600895546751
19:18:128947,0.18250585992478455
19:18:128947,0.1595673902790784
19:18:128947,0.14895256087701367
19:18:128947,0.142875872104208
19:18:128947,0.1280681205020902
19:18:128947,0.12948599895581864
19:20:373053,0.13959330780061824
19:20:373053,0.14091073072050878
19:20:373053,0.1320692878636066
19:20:373053,0.14436244903996165
19:20:373053,0.12754422895033046
19:20:373053,0.14277912498142026
19:20:373053,0.12185364449075861
19:20:373053,0.12336347915387058
19:20:373053,0.12195858536187984
19:20:373053,0.11992433244810709
19:22:668526,0.12319058230645473
19:22:668526,0.1287571210573767
19:22:668526,0.13740381309346233
19:22:668526,0.13217371406632428
19:22:668526,0.12910405145166956
19:22:668526,0.13155253953524643
19:22:668526,0.13484241645821937
19:22:668526,0.12879526735963895
19:22:668526,0.12189118640025402
19:22:668526,0.13278734387623728
19:26:792964,0.14769404068970612
19:26:792964,0.13282311096033894
19:26:792964,0.13788030139024415
19:26:792964,0.1513692453942911
19:26:792964,0.1393600595287039
19:26:792964,0.1227073639982223
19:26:792964,0.13552143315874665
19:26:792964,0.12919540843280247
19:26:792964,0.1368436284577697
19:26:792964,0.12840674426276077
19:28:887593,0.13124835985325836
19:28:887593,0.13792358282054562
19:28:887593,0.12452986341711313
19:28:887593,0.13999076507828162
19:28:887593,0.12810967251687416
19:28:887593,0.13065224891545166
19:28:887593,0.12712249296452832
19:28:887593,0.132407226105549
19:28:887593,0.1293423018639695
19:28:887593,0.1262747430622015
19:31:008076,0.11804406215628607
19:31:008076,0.1269775750713968
19:31:008076,0.13325126707686008
19:31:008076,0.1332005414635228
19:31:008076,0.1375727558231596
19:31:008076,0.12926374764321974
19:31:008076,0.13838120076453897
19:31:008076,0.14092627552371287
19:31:008076,0.12316134162435093
19:31:008076,0.1263539573362774
19:33:159247,0.12675626230978282
19:33:159247,0.12452718612485167
19:33:159247,0.1353980636934801
19:33:159247,0.14442179867696625
19:33:159247,0.13626020471100048
19:33:159247,0.12627863819448476
19:33:159247,0.12033798953268304
19:33:159247,0.13653212876863874
19:33:159247,0.16936764882301536
19:33:159247,0.20945162778565968
19:35:341097,0.2527559452182981
19:35:341097,0.26738663144093827
19:35:341097,0.28277250311534424
19:35:341097,0.2925636879494224
19:35:341097,0.29238735219827355
19:35:341097,0.2943259021700261
19:35:341097,0.29550185113089766
19:35:341097,0.30332035792703393
19:35:341097,0.2935109076414423
19:35:341097,0.29630411976662163
19:39:209355,0.29550305840884805
19:39:209355,0.29103930148791196
19:39:209355,0.29922229993097904
19:39:209355,0.30171268116340255
19:39:209355,0.30122541791567803
19:39:209355,0.3110492431164126
19:39:209355,0.30573013200087495
19:39:209355,0.2964753893245703
19:39:209355,0.3045713342328028
19:39:209355,0.30075237550265776
19:41:460095,0.3061553718572478
19:41:460095,0.31548254892646843
19:41:460095,0.3082344837463925
19:41:460095,0.3269715604935331
19:41:460095,0.32682580921788124
19:41:460095,0.3253757505329937
19:41:460095,0.2979165216859114
19:41:460095,0.3275701605527657
19:41:460095,0.3167853943386071
19:41:460095,0.31775241277611666
19:43:590248,0.32665060256599454
19:43:590248,0.33352746869697525
19:43:590248,0.3325073453124708
19:43:590248,0.32474711535308903
19:43:590248,0.32881920102794204
19:43:590248,0.3199190727372627
19:43:590248,0.3289434288742329
19:43:590248,0.334484202125395
19:43:590248,0.32332245718103164
19:43:590248,0.3496481411512611
19:45:688339,0.33585511706272964
19:45:688339,0.33896138013590305
19:45:688339,0.31920548600782905
19:45:688339,0.32702120137939206
19:45:688339,0.32866908608820466
19:45:688339,0.3208609270328351
19:45:688339,0.32137795577234923
19:45:688339,0.32269425111558764
19:45:688339,0.3196159544836885
19:45:688339,0.3214809845781411
19:47:901203,0.32866635104615205
19:47:901203,0.31803647779486344
19:47:901203,0.3489620522115561
19:47:901203,0.3813025073027201
